DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4251.8,231.9506,71.1041,131.4715,2.6993,133.28,17.6383,16.6236,15.9739,3.8568,13.4922,5.5472,0.9874,124.8869,0.01,10.0
4251.9,233.9041,71.2612,131.6076,2.6996,135.1489,17.6818,16.1724,15.5457,3.7328,14.063,5.8128,1.016,124.7191,0.01,10.0
4252.1,237.3049,71.3717,131.2922,2.6906,139.1187,17.9552,15.7544,15.1586,3.3551,15.2652,6.5914,1.016,124.3449,0.01,10.0
4252.3,238.1655,71.1169,131.0314,2.6893,139.3301,17.989,16.0655,15.4606,3.0902,15.7122,7.1359,1.0053,124.6082,0.01,10.0
4252.4,237.6933,70.941,130.9469,2.6936,137.8253,17.8476,16.3596,15.7373,3.0007,15.5964,7.3267,0.9874,124.6199,0.01,10.0
4252.5,236.8248,70.773,130.8923,2.6975,136.0761,17.5624,16.6408,15.9982,2.9281,15.4234,7.4789,0.9875,124.8962,0.01,10.0
4252.6,235.7905,70.7251,130.9183,2.6995,134.5246,17.1872,16.8381,16.1781,2.8799,15.2343,7.5893,0.9875,124.903,0.01,10.0
4252.8,233.5577,70.7217,131.0577,2.6982,132.7953,16.6907,16.9872,16.3107,2.8457,14.9116,7.7002,0.9875,125.0839,0.01,10.0
4253.0,231.4467,70.7987,131.4761,2.6938,134.4843,16.8011,16.9281,16.253,2.8608,14.9828,7.6149,1.0247,125.2365,0.01,10.0
4253.3,230.1997,71.0795,132.3235,2.691,135.9882,17.448,16.7348,16.066,3.0107,16.0491,6.8947,0.9985,125.5024,0.01,10.0
4253.4,230.6128,71.1652,132.5941,2.6893,135.2876,17.5995,16.6512,15.9848,3.0722,16.5359,6.5361,0.9985,125.6278,0.01,10.0
4253.5,231.3808,71.2366,132.9556,2.6858,134.455,17.7206,16.5511,15.8862,3.1414,17.1417,6.0914,0.9985,125.633,0.01,10.0
4253.7,233.3762,71.3851,133.5266,2.678,133.0845,18.0816,16.305,15.6403,3.2741,18.6716,5.0725,0.9736,125.9976,0.01,10.0
4253.8,234.2897,71.4833,133.6371,2.6779,132.5864,18.2994,16.174,15.5085,3.3199,19.4695,4.6054,0.9736,126.0058,0.01,10.0
4253.9,234.991,71.5947,133.7228,2.6816,132.3578,18.4216,16.0501,15.3834,3.3452,20.1252,4.259,0.9737,125.8598,0.01,10.0
4254.2,235.6123,71.9294,134.2057,2.7021,133.8664,18.3714,15.7257,15.0627,3.4396,21.5984,3.553,0.9736,125.7711,0.01,10.0
4254.3,235.6175,71.9675,134.2081,2.7058,135.4763,18.3537,15.6041,14.9442,3.4753,21.8337,3.4934,0.9592,125.6981,0.01,10.0
4254.5,235.9619,71.9617,134.1205,2.7056,137.7497,18.0709,15.3161,14.6636,3.4933,21.5342,3.8115,0.9505,125.6685,0.01,10.0
