DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4085.4,236.3779,72.016,130.8774,2.6747,119.8244,19.7151,13.1291,10.5364,2.9535,12.0888,6.1427,23.9341,111.5986,0.0,10.0
4085.6,238.1929,71.8843,130.9461,2.6728,118.8909,18.7981,12.9445,10.535,3.0083,11.7849,6.1632,23.958,111.6087,0.0,10.0
4085.7,238.7293,72.0096,130.9742,2.6696,119.0899,18.3224,12.836,10.5042,3.0553,11.655,6.15,23.9603,111.5933,0.0,10.0
4086.1,237.2983,72.6215,130.9367,2.6747,121.0448,17.8853,12.4651,10.1318,3.3382,11.8027,5.7902,23.9321,111.5325,0.0,10.0
4086.3,237.6076,72.7666,131.3919,2.6784,122.91,18.1901,12.485,9.8718,3.5279,11.9818,5.5465,24.0169,111.4242,0.0,10.0
4086.4,238.3355,73.0971,131.811,2.6798,124.3135,18.0351,12.5,9.7654,3.6679,12.1625,5.3346,24.0208,111.3209,0.0,10.0
4086.8,239.2919,74.8427,133.6503,2.6864,130.7886,17.2399,11.9914,9.6044,3.9114,12.9196,4.9996,23.9924,110.8701,0.0,10.0
4086.9,238.6167,74.8432,133.7017,2.6849,131.6844,17.4788,11.8686,9.5236,3.8725,13.0737,5.096,24.0032,110.8417,0.0,10.0
4087.0,237.8173,74.7022,133.6103,2.6824,131.8447,17.7547,11.8931,9.4695,3.815,13.196,5.2162,24.016,110.8681,0.0,10.0
4087.1,237.0456,74.4031,133.3598,2.6809,131.4022,17.9278,12.0974,9.3398,3.7608,13.2687,5.3231,24.0054,110.9437,0.0,10.0
4087.3,235.7666,73.7137,132.3779,2.6829,130.8924,17.8064,12.7105,9.4611,3.6784,13.3792,5.4401,24.0145,111.177,0.0,10.0
4087.4,235.2012,73.3852,131.8807,2.6847,131.016,17.5221,12.9253,9.4863,3.6545,13.4981,5.4158,24.0125,111.299,0.0,10.0
4087.7,233.8605,72.8675,131.1507,2.6903,129.9236,16.8956,13.0715,9.8084,3.7029,14.1726,4.9808,23.9444,111.557,0.0,10.0
4087.9,234.2768,72.6182,131.2141,2.6839,129.8351,17.4568,13.0705,9.9559,3.7348,14.6409,4.7341,23.9523,111.6004,0.0,10.0
